LFQ intensity 11_pTa	LFQ intensity 12_pT2+	LFQ intensity 15_pT2+	LFQ intensity 16_pTa	LFQ intensity 17_pT2+	LFQ intensity 19_pTa	LFQ intensity 3_pTa	LFQ intensity 9_pT2+	C: Only identified by site	C: Reverse	C: Potential contaminant	C: Welch's T-test Significant pTa_pT2+	C: Welch's T-test significant	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS count	N: Welch's T-test p-value pTa_pT2+	N: Welch's T-test q-value pTa_pT2+	N: Welch's T-test Difference pTa_pT2+	N: Welch's T-test Test statistic pTa_pT2+
21.6412	22.0734	21.4603	23.0508	21.5455	20.093	21.3534	19.1972						11	11	11	13	13	13	117.97	0	26.288	28376000	19	0.616255	0.905042	0.465497	0.528367
21.3844	19.243	20.3848	20.0731	19.2381	20.3469	19.6078	20.0094						2	2	2	25	25	25	8.496	0	9.7903	8597500	18	0.231573	0.810018	0.63426	1.34142
21.9182	22.4882	22.2952	22.8511	22.7112	21.834	22.0572	21.5609						12	12	12	15	15	15	105.34	0	39.292	45464000	51	0.782107	0.954166	-0.0987701	-0.289331
20.0587	20.6675	21.0878	19.0413	20.8784	20.363	19.3328	23.317						5	2	2	36	12.6	12.6	23.063	0.001503	4.2673	23378000	30	0.0546019	0.716179	-1.78873	-2.59831
23.0311	23.1884	22.9131	23.2905	23.6222	22.718	22.7996	23.1403						4	4	4	25.6	25.6	25.6	23.384	0	120.16	77060000	113	0.240338	0.807218	-0.256175	-1.30581
19.2713	20.728	21.0501	21.0223	22.0488	20.5651	19.7732	19.8106						13	3	3	30.4	9.4	9.4	49.129	0	12.855	12612000	8	0.262359	0.805492	-0.751418	-1.24017
25.5037	19.0117	24.4566	22.3244	20.6208	23.1369	25.6079	22.2485						14	14	14	62.3	62.3	62.3	36.071	0	81.2	145730000	101	0.128982	0.760199	2.5588	1.78878
23.8378	22.8726	23.2809	23.5212	22.726	20.3455	23.4191	22.8725						19	19	19	20.9	20.9	20.9	121.68	0	77.641	81189000	85	0.860698	0.983903	-0.157135	-0.190384
22.9786	23.7025	23.1988	24.0797	23.5312	24.1131	23.1845	20.272						15	15	15	37.9	37.9	37.9	47.463	0	57.219	85033000	77	0.351708	0.836674	0.912857	1.06062
20.8224	21.9714	18.1036	19.8877	21.6202	19.7429	20.9193	20.1317						6	6	6	14.9	14.9	14.9	52.904	0	25.422	16635000	12	0.909242	0.980349	-0.11364	-0.121948
23.0139	22.5311	21.9025	22.7612	21.7924	23.0707	24.1544	22.6501						7	7	6	34.9	34.9	30.3	21.671	0	49.671	64569000	87	0.0381561	0.714636	1.03105	2.73127
25.1343	25.5568	26.0438	25.7176	24.5229	25.6507	26.1575	24.5529						11	11	11	57.7	57.7	57.7	26.922	0	159.75	381080000	181	0.306184	0.814891	0.495952	1.14794
21.7241	20.0409	20.6868	22.2043	21.235	19.8246	21.072	21.0858						5	5	5	18.5	18.5	18.5	37.563	0	17.567	20400000	22	0.482504	0.892962	0.444106	0.764891
22.5288	22.9389	22.6054	22.8755	22.0998	22.2672	22.5692	22.4398						17	17	17	20.1	20.1	20.1	123.63	0	42.103	53238000	71	0.86165	0.981764	0.0391917	0.18272
24.3431	20.3285	23.7079	21.7535	21.1986	20.0405	20.8317	18.5697						17	17	17	11.4	11.4	11.4	217.23	0	103.26	47460000	55	0.598081	0.902427	0.791018	0.556907
22.7247	19.8847	20.2142	23.5723	21.4964	23.7153	22.8957	22.0374						10	10	10	27.7	27.7	27.7	57.13	0	41.525	48393000	37	0.0129767	0.557647	2.31885	4.08327
23.4895	21.7498	22.7044	23.421	24.6527	20.5155	21.6285	22.7649						17	17	17	32.8	32.8	32.8	66.049	0	103.57	84523000	77	0.485394	0.891364	-0.704359	-0.744724
23.5303	23.7587	23.694	23.9051	24.2076	22.7953	22.5563	23.1452						20	19	19	36.6	34.9	34.9	73.243	0	99.051	105470000	108	0.240516	0.805582	-0.504629	-1.32017
19.8846	20.8763	19.5748	25.2561	20.776	22.4509	24.025	21.5351						7	7	7	33.6	33.6	33.6	29.48	0	96.714	80752000	62	0.15102	0.764204	2.21362	1.80185
20.9385	20.0603	20.9163	21.5674	21.3397	19.8638	20.2088	19.0347						5	5	3	14	14	8.4	57.886	0	20.633	13673000	11	0.647746	0.916184	0.306896	0.482695
22.806	23.5644	23.606	22.5622	21.9646	21.3673	22.7058	21.8717						9	9	9	35.9	35.9	35.9	35.102	0	30.04	55933000	47	0.532353	0.881736	-0.391363	-0.667187
21.5121	21.5237	21.6039	21.8469	21.3426	20.1096	21.3334	19.2528						6	6	6	25.3	25.3	25.3	34.482	0	14.189	21588000	19	0.706245	0.937168	0.269779	0.39804
22.7833	20.2843	21.6124	21.8368	22.3654	22.4025	22.2605	22.4265						11	11	11	15.5	15.5	15.5	84.141	0	40.363	38151000	55	0.293822	0.808711	0.648615	1.2118
21.1718	19.973	21.447	21.6436	20.9214	19.5637	22.2075	20.9447						4	4	4	36.8	36.8	36.8	14.285	0	15.772	16815000	16	0.638085	0.910586	0.32511	0.502898
20.698	19.4438	20.1886	20.9786	21.5716	20.5695	20.2131	20.4263						6	6	6	10.2	10.2	10.2	72.683	0	21.781	11570000	12	0.682514	0.927518	0.207234	0.442246
22.4091	23.1434	23.3221	22.1863	21.842	20.4601	23.0537	21.7512						4	4	4	9.4	9.4	9.4	61.247	0	19.266	47548000	34	0.510227	0.888678	-0.487346	-0.703203
18.7804	19.8935	18.8321	21.0451	18.8875	20.6566	20.2408	19.6624						1	1	1	3.8	3.8	3.8	43.974	0.0022543	2.8935	6234500	3	0.191153	0.776936	0.861857	1.52969
23.288	23.3633	23.3558	23.1201	23.6614	22.654	23.1005	22.9954						9	9	9	47.2	47.2	47.2	27.887	0	41.487	80307000	90	0.165593	0.76485	-0.30335	-1.57822
20.4289	21.8112	19.4971	21.4455	19.3044	21.0516	21.2278	20.7965						4	4	4	19	19	19	38.287	0	19.189	14978000	11	0.338577	0.835464	0.686125	1.09306
25.744	25.9353	25.8038	25.3418	25.2853	25.5511	27.363	25.5753						9	9	4	63.2	63.2	24.6	19.794	0	250.26	547650000	291	0.513417	0.877592	0.350072	0.724493
20.1412	20.0173	19.3742	20.447	20.2485	19.8897	22.1951	20.242						3	3	3	4.4	4.4	4.4	86.191	0	19.627	12970000	5	0.282695	0.80312	0.697743	1.24437
22.1266	20.0995	21.5222	21.8536	22.0451	21.9608	21.5454	20.1549						6	5	5	14.3	12.4	12.4	46.437	0	18.629	24944000	34	0.157093	0.775677	0.916198	1.81386
23.2498	24.2239	23.5088	23.6356	24.5996	21.4801	22.6368	23.1012						28	28	28	33.2	33.2	33.2	123.38	0	93.597	111510000	117	0.109621	0.766738	-1.10782	-1.90975
20.8462	21.0968	20.789	20.9716	20.6667	21.0237	21.0676	20.5094						2	2	2	9.7	9.7	9.7	36.648	0.0010277	4.7137	15644000	13	0.189542	0.790298	0.211816	1.58933
20.8163	21.1458	20.6638	20.4725	21.1188	21.3865	18.9404	20.8177						3	3	3	6.7	6.7	6.7	60.029	0	20.647	11308000	8	0.38752	0.872942	-0.532601	-0.99365
24.232	23.4992	24.0077	23.9016	23.5074	22.7118	23.7018	23.0374						8	8	7	29.8	29.8	23.7	40.949	0	52.174	114490000	87	0.759305	0.949154	0.123862	0.32386
24.4648	24.6195	24.8397	24.7807	24.2235	21.1155	24.442	23.8659						14	14	14	46.7	46.7	46.7	34.333	0	59.551	181830000	204	0.491773	0.890311	-0.686408	-0.769815
23.2912	23.0899	23.7074	23.6869	22.9773	23.5221	24.1231	23.0293						6	6	6	34.8	34.8	34.8	20.546	0	42.2	94992000	82	0.112422	0.770353	0.454869	1.85902
