protein	a1	a2	a3	a4	b1	b2	b3	b4	c1	c2	c3	c4	d1	d2	d3	d4	e1	e2	e3	e4
A0AVT1	26.80325059163669	27.048491126455993	26.888255395381652	26.866559488153616	27.145872879333094	26.90519725266071	27.101865375828087	26.78758715191814	27.050554094539454	27.08574086333142	26.904555119745535	26.784735223810987	26.95123209868206	26.99697594124095	26.837950491345932	26.912438451770566	26.907205026526285	26.933266570248808	27.04240049132803	26.771082528005415
A0FGR8	27.946068191515913	27.881904855772497	27.891464951857543	27.930567165155043	27.96146565881162	27.912205029878432	27.983421056321497	27.878879812690528	27.871299252063956	27.89646482986676	27.863400400477527	27.76591158421496	27.98356290926525	27.9854115222698	27.95007963627955	27.882178394345313	27.93218147582261	27.897373673348596	27.75544350715994	27.775583920240358
A0MZ66	26.643077591847575	26.539121716278004	26.394113553629836	26.524175350883144	26.320578364990407	26.35119462811546	26.39580451071313	26.37153000807011	26.60484403957567	26.475193959713675	26.602829424827426	26.404052859461796	26.58069723705233	26.30029814907197	26.310340618288595	26.528569753929872	26.42684636683082	26.610382829073842	26.574214640711727	26.38557046761962
A1L0T0	24.371325105346358	24.708302425959	24.46483947830349	23.98478224733545	24.755998753585406	24.367799945229915	24.016867363345234	24.24312392883028	24.080601673959958	24.691821471068423	24.80619308805185	24.120184831763208	24.433774215471175	24.73575244715686	24.525368903268237	24.078670424607424	24.48010072952247	24.399791050917084	24.33859847821941	24.01967016273295
A1X283;Q5TCZ1	NA	NA	NA	NA	NA	NA	NA	NA	23.79531919234966	NA	23.714087959499228	NA	NA	NA	NA	NA	NA	NA	NA	NA
A4D1E9	25.07327351919883	25.186935662440426	24.956823328362123	24.925788055732085	25.346635169375993	25.313887135607025	25.22493858362351	NA	24.931503436823593	25.315978345464927	25.216153096025685	NA	24.973989715363974	25.047254583314718	25.310568810887048	NA	24.89788736853267	25.191157532831568	NA	24.697687069273602
A5PLL7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.954539687858027	23.629446675685777	NA	24.069540626065947	NA	NA	24.158812681288527
A5YKK6	27.373696428278812	27.57124425111371	27.211047452499454	27.451032920574548	27.549821973101235	27.405823534265775	27.32134931919184	27.465123833488782	27.459909529800253	27.514870764695402	27.34801876865161	27.35599776886197	27.470738031205475	27.368714236150886	27.270057205956846	27.252314246773626	27.502344751332792	27.454608152852092	27.368115331531747	27.352992627622303
A6NDG6	25.880913768377308	26.246391838459672	26.14042778526412	26.10194750062937	26.350747682162385	26.11350058760161	26.09907947840319	26.05206821594213	26.287973508203482	26.169114743201806	26.22924487666065	26.07048188782488	26.277984523432316	26.05815602517104	26.02540461987786	26.284041048572277	26.128119423815303	26.331183313809444	26.127280103041386	25.97997068499212
A6NHQ2	28.686195788029714	28.7214584360165	28.47867358050638	28.47672775362428	28.594069651587045	28.66745580666241	28.624415747419253	28.604815653835573	28.568935778943704	28.826359992126424	28.566307207405185	28.704089444230995	28.438883341505367	28.76475875958173	28.6127392191276	28.639189016756557	28.673316966352008	28.65441368137798	28.53997914278917	28.66705946346219
A6NHR9	25.97745386556682	25.71186137380492	25.856938951862944	25.739404808139092	25.668629688216075	25.762567841915285	25.922144061153244	25.696744485069395	25.53531185435594	25.630402401219975	25.92464907451246	25.603372175097597	25.905617036891496	25.79851518446472	25.51903323937582	25.723760672612613	25.422783211616043	25.578546175145846	25.986739680645083	25.745771439476233
