LFQ intensity a1	LFQ intensity a2	LFQ intensity a3	LFQ intensity a4	LFQ intensity b1	LFQ intensity b2	LFQ intensity b3	LFQ intensity b4	LFQ intensity c1	LFQ intensity c2	LFQ intensity c3	LFQ intensity c4	LFQ intensity d1	LFQ intensity d2	LFQ intensity d3	LFQ intensity d4	LFQ intensity e1	LFQ intensity e2	LFQ intensity e3	LFQ intensity e4	Student's T-test Significant b_a	Student's T-test Significant c_a	Student's T-test Significant d_a	Student's T-test Significant e_a	Student's T-test Significant c_b	Student's T-test Significant d_b	Student's T-test Significant e_b	Student's T-test Significant d_c	Student's T-test Significant e_c	Student's T-test Significant e_d	Student's T-test significant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Student's T-test p-value b_a	Student's T-test q-value b_a	Student's T-test Difference b_a	Student's T-test Test statistic b_a	Student's T-test p-value c_a	Student's T-test q-value c_a	Student's T-test Difference c_a	Student's T-test Test statistic c_a	Student's T-test p-value d_a	Student's T-test q-value d_a	Student's T-test Difference d_a	Student's T-test Test statistic d_a	Student's T-test p-value e_a	Student's T-test q-value e_a	Student's T-test Difference e_a	Student's T-test Test statistic e_a	Student's T-test p-value c_b	Student's T-test q-value c_b	Student's T-test Difference c_b	Student's T-test Test statistic c_b	Student's T-test p-value d_b	Student's T-test q-value d_b	Student's T-test Difference d_b	Student's T-test Test statistic d_b	Student's T-test p-value e_b	Student's T-test q-value e_b	Student's T-test Difference e_b	Student's T-test Test statistic e_b	Student's T-test p-value d_c	Student's T-test q-value d_c	Student's T-test Difference d_c	Student's T-test Test statistic d_c	Student's T-test p-value e_c	Student's T-test q-value e_c	Student's T-test Difference e_c	Student's T-test Test statistic e_c	Student's T-test p-value e_d	Student's T-test q-value e_d	Student's T-test Difference e_d	Student's T-test Test statistic e_d	Protein IDs	Majority protein IDs	Protein names	Gene names
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	C	C	C	C	C	C	C	C	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	T	T	T	T
#!{C:Group1}a	a	a	a	b	b	b	b	c	c	c	c	d	d	d	d	e	e	e	e																																																																		
26.86455	27.09658	26.95626	26.92988	27.17169	26.924	27.14346	26.8136	27.04687	27.08507	26.89308	26.78119	26.92366	26.96378	26.81995	26.88925	26.84494	26.87056	26.98869	26.71816												11	11	11	12.1	12.1	12.1	117.97	0	38.338	2734600000	70	0.623774054561041	0.808575784753363	0.0513696670532227	0.51681686114869	0.908518734787244	0.923557504215852	-0.0102643966674805	-0.119844239521499	0.318468264330619	0.309072543617998	-0.0626587867736816	-1.08772512920013	0.200850589468226	0.136014388489209	-0.106228828430176	-1.43662232854831	0.600453012826991	0.789220309050773	-0.0616340637207031	-0.552676626297111	0.260332847743931	0.402464219041693	-0.114028453826904	-1.24272084434284	0.176165631436976	0.188867415730337	-0.157598495483398	-1.53300246118825	0.519769656739393	0.838877682403434	-0.0523943901062012	-0.683549543646777	0.325234918311046	0.439656334964655	-0.0959644317626953	-1.07127229365549	0.516996441168565	0.751779419005416	-0.0435700416564941	-0.688268048011313	A0AVT1	A0AVT1	Ubiquitin-like modifier-activating enzyme 6	UBA6
28.00737	27.92999	27.95947	27.99389	27.98729	27.93101	28.02501	27.90489	27.86762	27.89579	27.85192	27.76237	27.95599	27.95222	27.93208	27.85899	27.86991	27.83467	27.70174	27.72267		+		+			+				c_a;e_a;e_b	15	15	15	23.5	23.5	23.5	102.36	0	71.299	5250900000	229	0.752902982025663	0.870032068830661	-0.0106301307678223	-0.329602476641658	0.00888953062991441	0.0309429175475687	-0.128253936767578	-3.80749783898765	0.144271466417712	0.144969696969697	-0.0478615760803223	-1.67842495112094	0.00539162924014975	0.00627979274611399	-0.190433502197266	-4.24806352328935	0.0248969864014202	0.169920424403183	-0.117623805999756	-2.97187579347333	0.331967557191927	0.461828382838284	-0.0372314453125	-1.05517927843152	0.0108484521905581	0.0249366391184573	-0.179803371429443	-3.63895241632827	0.0704345361804706	0.369754512635379	0.0803923606872559	2.1965669014791	0.263081800513197	0.379417661097852	-0.0621795654296875	-1.23475199852041	0.0231059331684797	0.174051020408163	-0.142571926116943	-3.02973024638559	A0FGR8	A0FGR8	Extended synaptotagmin-2	ESYT2
26.70438	26.58721	26.46212	26.58749	26.3464	26.37	26.4374	26.39754	26.60116	26.47452	26.59135	26.40051	26.55312	26.2671	26.29234	26.50538	26.36458	26.54768	26.52051	26.33265												12	12	12	21.1	21.1	21.1	71.639	0	34.386	1958200000	112	0.00993773928489501	0.0833907284768212	-0.19746732711792	-3.71270476024497	0.3605613511978	0.429329365079365	-0.068413257598877	-0.989648458013794	0.0858875571993909	0.0929936664320901	-0.180814266204834	-2.05297513915997	0.097522738997238	0.0680978260869565	-0.143946170806885	-1.96127417890263	0.0479922638078966	0.248080160320641	0.129054069519043	2.47712008143437	0.832629573961208	0.853131606217617	0.0166530609130859	0.220719969873475	0.388940504003398	0.376327226246272	0.0535211563110352	0.928571335657149	0.245923521771408	0.640869881710646	-0.112401008605957	-1.28574024890238	0.338308247097618	0.45166452991453	-0.0755329132080078	-1.04026520214004	0.698898507157493	0.850400320256205	0.0368680953979492	0.405894874757751	A0MZ66	A0MZ66	Shootin-1	KIAA1598
24.43262	24.75639	24.53285	24.0481	24.78182	24.3866	24.05846	24.26914	24.07692	24.69115	24.79471	24.11664	24.4062	24.70256	24.50736	24.05548	24.41783	24.33708	24.28489	23.96675												6	6	6	12.8	12.8	12.8	67.867	0	13.923	460880000	42	0.757629008522621	0.871483469467133	-0.0684866905212402	-0.323036319798772	0.927664622596219	0.943748326639893	-0.0226335525512695	-0.0946631541407708	0.906439562923256	0.89002004008016	-0.0245895385742188	-0.122583810824846	0.324454835123303	0.232770909090909	-0.190849781036377	-1.0731545589082	0.855757830835733	0.93784778012685	0.0458531379699707	0.189755044143235	0.836457313297633	0.855428374655647	0.0438971519470215	0.21557922740347	0.524758951293692	0.494446841294299	-0.122363090515137	-0.675101670033576	0.993537918149679	0.998924581887031	-0.00195598602294922	-0.00844214536785023	0.458327860699579	0.557737280296022	-0.168216228485107	-0.792355144618082	0.359913670652463	0.652005066497783	-0.166260242462158	-0.99108586551833	A1L0T0	A1L0T0	Acetolactate synthase-like protein	ILVBL
NaN	NaN	NaN	24.2803	NaN	23.87277	NaN	NaN	23.79164	NaN	23.70261	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN												3	3	3	4.2	4.2	4.2	101.58	0.0088087	1.8744	231370000	8	1	1	-0.407527923583984	0	1	1	-0.533173561096191	0	1	1	NaN	0	1	1	NaN	0	1	1	-0.125645637512207	0	1	1	NaN	0	1	1	NaN	0	1	1	NaN	0	1	1	NaN	0	1.0000001	1	0	0	A1X283;Q5TCZ1	A1X283	SH3 and PX domain-containing protein 2B	SH3PXD2B
23.56651	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.3889	NaN	NaN	NaN	NaN	NaN	23.50652	NaN	NaN	NaN	NaN	23.38324												4	4	4	2.1	2.1	2.1	268.57	0.00071736	3.0827	173220000	16	1	1	NaN	0	1	1	-0.177610397338867	0	1	1	-0.0599937438964844	0	1	1	-0.183269500732422	0	1	1	NaN	0	1	1	NaN	0	1	1	NaN	0	1	1	0.117616653442383	0	1	1	-0.00565910339355469	0	1	1	-0.123275756835938	0	A2RRP1	A2RRP1	Neuroblastoma-amplified sequence	NBAS
NaN	NaN	NaN	NaN	NaN	NaN	23.24751	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN												6	6	6	6.8	6.8	6.8	154.31	0	10.722	164790000	22	1	1	NaN	0	1.0000001	1	0	0	1.0000001	1	0	0	1.0000001	1	0	0	1	1	NaN	0	1	1	NaN	0	1	1	NaN	0	1.0000001	1	0	0	1.0000001	1	0	0	1.0000001	1	0	0	A3KN83;Q9Y2G9	A3KN83	Protein strawberry notch homolog 1	SBNO1
25.13457	25.23502	25.02483	24.98911	25.37245	25.33269	25.26653	NaN	24.92782	25.31531	25.20467	NaN	24.94641	25.01406	25.29256	NaN	24.83562	25.12845	NaN	24.64477												6	6	6	19.6	19.6	19.6	42.932	0	14.345	717620000	33	0.0235183957456235	0.159409669211196	0.228007793426514	3.21798488503438	0.666862305054483	0.709741085271318	0.0533849398295096	0.456966756317527	0.920893957925356	0.906523872679045	-0.011536757151287	-0.10442186910615	0.154356030747099	0.105719247467438	-0.226269880930584	-1.67715758799775	0.217128340107159	0.51465625	-0.174622853597004	-1.46365879787897	0.095700899119326	0.207102983638114	-0.239544550577801	-2.17101925406099	0.0343653012940344	0.0528223938223938	-0.454277674357098	-3.15449315667807	0.69958817258832	0.903054667788057	-0.0649216969807966	-0.414773230170044	0.198881195779716	0.321643835616438	-0.279654820760094	-1.53795791588022	0.289639063660626	0.598244330651061	-0.214733123779297	-1.21951354440209	A4D1E9	A4D1E9	GTP-binding protein 10	GTPBP10
