Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 11_pTa	Peptides 12_pT2+	Peptides 15_pT2+	Peptides 16_pTa	Peptides 17_pT2+	Peptides 19_pTa	Peptides 3_pTa	Peptides 9_pT2+	Razor + unique peptides 11_pTa	Razor + unique peptides 12_pT2+	Razor + unique peptides 15_pT2+	Razor + unique peptides 16_pTa	Razor + unique peptides 17_pT2+	Razor + unique peptides 19_pTa	Razor + unique peptides 3_pTa	Razor + unique peptides 9_pT2+	Unique peptides 11_pTa	Unique peptides 12_pT2+	Unique peptides 15_pT2+	Unique peptides 16_pTa	Unique peptides 17_pT2+	Unique peptides 19_pTa	Unique peptides 3_pTa	Unique peptides 9_pT2+	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 11_pTa	Identification type 12_pT2+	Identification type 15_pT2+	Identification type 16_pTa	Identification type 17_pT2+	Identification type 19_pTa	Identification type 3_pTa	Identification type 9_pT2+	Sequence coverage 11_pTa [%]	Sequence coverage 12_pT2+ [%]	Sequence coverage 15_pT2+ [%]	Sequence coverage 16_pTa [%]	Sequence coverage 17_pT2+ [%]	Sequence coverage 19_pTa [%]	Sequence coverage 3_pTa [%]	Sequence coverage 9_pT2+ [%]	Intensity	Intensity 11_pTa	Intensity 12_pT2+	Intensity 15_pT2+	Intensity 16_pTa	Intensity 17_pT2+	Intensity 19_pTa	Intensity 3_pTa	Intensity 9_pT2+	LFQ intensity 11_pTa	LFQ intensity 12_pT2+	LFQ intensity 15_pT2+	LFQ intensity 16_pTa	LFQ intensity 17_pT2+	LFQ intensity 19_pTa	LFQ intensity 3_pTa	LFQ intensity 9_pT2+	MS/MS count 11_pTa	MS/MS count 12_pT2+	MS/MS count 15_pT2+	MS/MS count 16_pTa	MS/MS count 17_pT2+	MS/MS count 19_pTa	MS/MS count 3_pTa	MS/MS count 9_pT2+	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
REV__sp|O00555|CAC1A_HUMANVoltage-dependentP/Q-typecalciumchannelsubunitalpha-1AOS=HomosapiensGN=CACNA1APE=1SV=2	REV__sp|O00555|CAC1A_HUMANVoltage-dependentP/Q-typecalciumchannelsubunitalpha-1AOS=HomosapiensGN=CACNA1APE=1SV=2	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	282.36	2505	2505	0.006079	2.5155	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	381960000	57932000	20419000	68704000	59652000	47437000	7292000	46551000	73974000	0	0	0	0	0	0	0	30811000	8	6	9	9	6	5	6	6	55		+		0	7523	True	7649	38540;38541;38542;38543;38544;38545;38546;38547;38548;38549;38550;38551;38552;38553;38554	89498;89499;89500;89501;89502;89503;89504;89505;89506;89507;89508;89509;89510;89511;89512;89513;89514;89515;89516;89517;89518;89519;89520;89521;89522;89523;89524;89525;89526;89527;89528;89529;89530;89531;89532;89533;89534;89535;89536;89537;89538;89539;89540;89541;89542;89543;89544;89545;89546;89547;89548;89549;89550;89551;89552	89511		
REV__sp|O15440|MRP5_HUMANMultidrugresistance-associatedprotein5OS=HomosapiensGN=ABCC5PE=1SV=2	REV__sp|O15440|MRP5_HUMANMultidrugresistance-associatedprotein5OS=HomosapiensGN=ABCC5PE=1SV=2	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	160.66	1437	1437	0.002687	2.8375	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	99660000	20085000	9874800	10807000	11515000	3342700	3498100	27520000	13017000	0	0	0	0	0	0	0	4849900	4	2	5	4	1	3	4	4	27		+		1	14351	True	14622	73404;73405;73406;73407;73408;73409;73410;73411;73412;73413;73414;73415;73416;73417;73418;73419;73420	171971;171972;171973;171974;171975;171976;171977;171978;171979;171980;171981;171982;171983;171984;171985;171986;171987;171988;171989;171990;171991;171992;171993;171994;171995;171996;171997	171992		
REV__sp|O15554|KCNN4_HUMANIntermediateconductancecalcium-activatedpotassiumchannelprotein4OS=HomosapiensGN=KCNN4PE=1SV=1	REV__sp|O15554|KCNN4_HUMANIntermediateconductancecalcium-activatedpotassiumchannelprotein4OS=HomosapiensGN=KCNN4PE=1SV=1	1	1	1		1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	47.695	427	427	0.0077888	2.4794							By MS/MS		0	0	0	0	0	0	0	0	4051400	0	0	0	0	0	0	4051400	0	0	0	0	0	0	0	4051400	0	0	0	0	0	0	0	1	0	1		+		2	9598	True	9761	49765	118190	118190		
REV__sp|O75208|COQ9_HUMANUbiquinonebiosynthesisproteinCOQ9,mitochondrialOS=HomosapiensGN=COQ9PE=1SV=1;REV__sp|Q92797|SYMPK_HUMANSymplekinOS=HomosapiensGN=SYMPKPE=1SV=2	REV__sp|O75208|COQ9_HUMANUbiquinonebiosynthesisproteinCOQ9,mitochondrialOS=HomosapiensGN=COQ9PE=1SV=1;REV__sp|Q92797|SYMPK_HUMANSymplekinOS=HomosapiensGN=SYMPKPE=1SV=2	1;1	1;1	1;1	;	2	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	1	0	1	0	1	1	0	0	1	0	1	0	0	0	35.509	318	318;1274	0.0048544	2.6584		By MS/MS	By MS/MS			By MS/MS		By MS/MS	0	0	0	0	0	0	0	0	30112000	0	13878000	5701600	0	0	0	0	10533000	0	0	0	0	0	0	0	4387000	0	4	1	0	0	1	0	3	9		+		3	10669	True	10850	54971;54972;54973;54974;54975;54976;54977	129535;129536;129537;129538;129539;129540;129541;129542;129543	129538		
REV__sp|P01270|PTHY_HUMANParathyroidhormoneOS=HomosapiensGN=PTHPE=1SV=1	REV__sp|P01270|PTHY_HUMANParathyroidhormoneOS=HomosapiensGN=PTHPE=1SV=1	1	1	1		1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	12.861	115	115	1	-2								By MS/MS	0	0	0	0	0	0	0	0	2361700	0	0	0	0	0	0	0	2361700	0	0	0	0	0	0	0	983690	0	0	0	0	0	0	0	1	1	+	+		4	6759	True	6873	34643;34644	80139	80139	0	77
REV__sp|P39059|COFA1_HUMANCollagenalpha-1(XV)chainOS=HomosapiensGN=COL15A1PE=1SV=2	REV__sp|P39059|COFA1_HUMANCollagenalpha-1(XV)chainOS=HomosapiensGN=COL15A1PE=1SV=2	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	141.72	1388	1388	0.0069324	2.4949	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	133350000	754920	18081000	12309000	31796000	40924000	5861600	9085400	14533000	0	0	0	0	0	0	0	12106000	0	2	1	1	1	3	2	3	13		+		5	6031	True	6141	31065;31066;31067;31068;31069;31070;31071;31072;31073;31074;31075;31076	70941;70942;70943;70944;70945;70946;70947;70948;70949;70950;70951;70952;70953	70944		
REV__sp|P98196|AT11A_HUMANProbablephospholipid-transportingATPaseIHOS=HomosapiensGN=ATP11APE=1SV=3;REV__sp|Q9Y2G3|AT11B_HUMANProbablephospholipid-transportingATPaseIFOS=HomosapiensGN=ATP11BPE=1SV=2	REV__sp|P98196|AT11A_HUMANProbablephospholipid-transportingATPaseIHOS=HomosapiensGN=ATP11APE=1SV=3;REV__sp|Q9Y2G3|AT11B_HUMANProbablephospholipid-transportingATPaseIFOS=HomosapiensGN=ATP11BPE=1SV=2	1;1	1;1	1;1	;	2	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	129.75	1134	1134;1177	0.0097582	2.3413	By matching	By MS/MS	By MS/MS	By matching				By MS/MS	0	0	0	0	0	0	0	0	6373000	902610	1376700	2465000	333340	0	0	0	1295300	0	0	0	0	0	0	0	539520	0	3	1	0	0	0	0	1	5		+		6	16698	True	17017	86031;86032;86033;86034;86035;86036;86037	204614;204615;204616;204617;204618	204615		
REV__sp|Q07890|SOS2_HUMANSonofsevenlesshomolog2OS=HomosapiensGN=SOS2PE=1SV=2	REV__sp|Q07890|SOS2_HUMANSonofsevenlesshomolog2OS=HomosapiensGN=SOS2PE=1SV=2	2	2	2		1	2	2	2	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	152.98	1332	1332	0.0035651	2.7726				By MS/MS		By MS/MS	By matching		0	0	0	0	0	0	0	0	11907000	0	0	0	168630	0	9254600	2483600	0	0	0	0	0	0	0	2483600	0	0	0	0	0	0	2	0	0	2		+		7	7698;9206	True;True	7827;9365	39562;47987;47988;47989	92559;114681;114682	92559;114681		
REV__sp|Q14789|GOGB1_HUMANGolginsubfamilyBmember1OS=HomosapiensGN=GOLGB1PE=1SV=2	REV__sp|Q14789|GOGB1_HUMANGolginsubfamilyBmember1OS=HomosapiensGN=GOLGB1PE=1SV=2	2	2	2		1	2	2	2	0	1	0	0	1	0	1	2	0	1	0	0	1	0	1	2	0	1	0	0	1	0	1	2	0	0	0	376.01	3259	3259	0.0015129	4.4007		By MS/MS			By MS/MS		By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	73622000	0	7169200	0	0	20037000	0	2690500	43725000	0	0	0	0	0	0	0	36424000	0	3	0	0	1	0	1	4	9		+		8	9064;13035	True;True	9218;13279	47019;47020;47021;67104;67105;67106	112323;157766;157767;157768;157769;157770;157771;157772;157773	112323;157769		
REV__sp|Q15643|TRIPB_HUMANThyroidreceptor-interactingprotein11OS=HomosapiensGN=TRIP11PE=1SV=3	REV__sp|Q15643|TRIPB_HUMANThyroidreceptor-interactingprotein11OS=HomosapiensGN=TRIP11PE=1SV=3	1	1	1		1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	227.58	1979	1979	0.0082109	2.4709		By MS/MS							0	0	0	0	0	0	0	0	11006000	0	11006000	0	0	0	0	0	0	0	12202000	0	0	0	0	0	0	0	5	0	0	0	0	0	0	5		+		9	13106	True	13350	67467	158548;158549;158550;158551;158552	158549		
